, those
India, keep
Indiana, has
Individual, responsibility
Instead, what
Instinctively, they
Iowa, caucuses
Iran, from
Iraq, that
Iraqi, government
Iraqis, know
Is, this
Island, and
Israel, and
It, takes
Its, because
Ive, heard
Jerry, Falwell
Jews, and
Joe, Biden
John, McCain
Journal, Sometimes
June, 
Justice, since
Kansas, whose
Katrina, happens
Keenan, and
Kennedy, and
Kenya, get
Khe, Sahn
King, and
Kings, call
Knox, College
Kyl, proposed
Laden, to
Lady, what
Lake, County
Later, the
Latino, fought
Latinos, and
League, was
Leahy, and
Left, with
Less, measurable
Let, me
Lets, be
Letting, the
Lewis, and
Lincoln, organized
Lincolns, Memorial
Listen, to
Look, at
Lord, for
Lou, Hamer
Louis, on
Louisiana, and
Lugar, to
Main, Street
Maine, to
Making, your
Malia, 
Mall, in
Manassas, This
Many, of
March, 
Marshall, did
Maybe, if
McCain, but
McCains, attempt
Mel, Watt
Members, Conyers
Memorial, and
Meyer, Elaine
Michelle, and
Michigan, and
Middle, East
Millions, of
Milwaukee, Black
Minnesota, 
Mississippi, were
Moines, and
Montana, I
Montgomery, the
More, of
Moreover, between
Most, of
Mountains, to
Movement, unfold
Mr, President
Muslim, world
Muslims, Jews
My, friends
NAACP, drives
Native, American
New, York
Night, Presumptive
Nixon, Cooper
No, Child
Nobody, can
Nominee, Speech
Nor, is
Normandy, and
North, and
Northern, Virginia
Northwestern, is
Not, one
November, th
Now, let
Obama, I
Of, the
Ohio, some
Okay, Im
Old, State
On, November
One, of
Only, two
Or, will
Orleans, hed
Osama, bin
Others, have
Our, media
Ours, is
Out, of
Over, one
Overall, the
Overcome, Yes
Ownership, Society
Palin, for
Parks, all
Party, will
Passions, fly
Patriot, Act
Pattons, Army
Paul, or
Pearl, Harbor
Pennsylvania, and
People, have
Persevere, Making
Pettus, Bridge
Philadelphia, hall
Plouffe, my
Politics, won
President, came
Presidentelect, of
Presidents, system
Presumptive, Democratic
Primary, Night
Product, but
Project, is
Pull, yourself
Qaeda, and
Qaedas, best
Ranking, Members
Rapids, to
Rather, it
Ready, to
Reagan, have
Real, enforcement
Recall, that
Red, America
Registration, Project
Rep, Mel
Republican, and
Republicans, 
Review, Tribunal
Rhode, Island
Ride, down
Rides, they
Rights, Movement
Rodham, Clinton
Roosevelt, and
Rosa, Parks
Rouge, And
Russian, aggression
Sahn, Time
San, Antonio
Sasha, and
Savannah, to
Scott, King
Scranton, and
Scripture, hold
Seattle, from
Second, Amendment
Section, s
Security, receives
Selma, still
Senate, and
Senator, I
Senators, Kennedy
Sensenbrenner, and
September, day
Services, Committee
Shall, Overcome
She, spent
Shes, the
Shia, to
Side, of
Since, that
Sioux, Falls
Sixteen, months
So, dont
Social, Security
Society, but
Some, were
Sometimes, we
Soon, after
South, they
Southwestern, Voter
Spanish, registration
Specter, Ranking
Speech, St
Springfield, lawyer
St, Louis
Starting, today
State, Capitol
States, I
Status, Review
Street, Journal
Sunni, and
Supreme, Court
Syria, and
TV, thing
Take, some
Taliban, regrouping
Ted, Kennedy
Tell, that
Texas, words
Thank, you
That, is
Thats, why
The, problem
Their, memories
Theirs, are
Then, I
There, was
Theres, no
These, hired
They, may
Thirteen, people
This, is
Those, of
Thousands, of
Time, will
Times, I
To, further
Today, we
Together, starting
Tomorrow, at
Tonight, I
Tough, luck
Tribunal, that
Trojan, Horse
Truman, and
Trustees, faculty
Twenty, people
Two, weeks
US, Senate
Uganda, He
Under, our
Understandably, employers
Unfortunately, our
United, States
Unlike, John
VFW, halls
Vermont, And
Vermonts, Green
Vice, President
Virginia, Hes
Vote, Act
Voter, Registration
Voters, League
Voting, Rights
W, Bush
Wage, and
Wall, Street
War, II
Washington, has
Washingtons, been
Watergate, But
Watt, Without
We, couldve
Well, have
Were, distracted
West, Virginia
Weve, already
What, you
Whats, been
When, were
Where, else
Which, drove
White, House
Who, will
Why, else
Will, the
Williams, leading
Wisconsin, a
With, profound
Without, their
World, War
Yes, we
Yet, every
York, sent
You, will
Youll, be
Youre, on
a, bill
abandoned, The
abandonment, of
ability, to
able, to
abortion, but
about, all
above, all
abroad, If
abrogated, its
absence, of
absolutely, right
accept, responsibility
accepted, the
access, to
accessible, health
accidentally, rounded
accompanied, me
accomplish, our
accomplishments, even
account, 
accountability, Lets
accountable, to
accuracy, standards
accused, one
achieve, whatever
achieved, gives
achievement, in
across, the
act, a
action, bold
actions, by
active, participation
activists, and
acts, as
actually, agree
adapting, to
add, more
addiction, to
additional, accuracy
address, they
addressed, this
adequate, due
adjourn, for
administrative, hearings
admit, that
adopt, a
ads, and
adult, conversation
advance, their
advancing, The
advantage, of
adversaries, and
adversity, 
advice, I
advisors, 
advocates, around
afar, But
affection, And
afford, to
affordable, insurance
afraid, to
after, the
again, in
against, the
age, that
agencies, a
agenda, in
ages, who
aggression, I
ago, still
agree, with
agreement, Under
ahead, a
ailing, parent
aims, by
aisle, 
al, Qaedas
alarmed, at
alike, went
alive, in
all, of
alliances, as
allies, and
allow, our
allowed, us
allowing, this
allows, them
alone, will
along, with
alongside, you
already, had
also, know
alternative, We
although, you
always, detect
am, not
amazing, thing
ambit, of
ambition, It
ambitions, 
amendment, with
amidst, gathering
amount, of
an, effective
ancestors, I
and, cut
anger, and
angry, thinking
announce, my
announcement, I
another, as
answer, the
answers, But
anticipation, of
anxiety, Americans
any, President
anymore, 
anyone, back
anything, but
anywhere, theres
apart, the
apartment, building
apathy, who
apologize, for
applied, for
applies, to
apply, to
appreciate, you
approach, the
approaching, this
appropriations, needed
arc, in
are, undermining
arent, learning
argue, about
argued, against
argument, that
arguments, have
armed, with
armies, but
arminarm, with
arms, or
army, of
around, the
arranged, rows
arrayed, against
arrests, of
arrive, in
arrived, in
arrives, in
arriving, at
article, Im
as, one
aside, childish
ask, the
asked, them
asking, anyone
asks, Is
asleep, and
aspirations, tonight
assembled, in
assistance, if
assume, the
assumption, in
assure, the
assured, that
at, least
attack, ads
attacked, us
attacks, Weve
attempt, to
attention, span
audacity, 
audience, today
authored, by
authorized, and
auto, companies
automakers, to
autumn, night
average, American
avoid, this
avoidance, of
awake, after
awakened, a
away, forever
awhile, We
back, on
backyards, of
bad, Some
badly, that
bags, to
ballot, missteps
ballots, distribute
band, of
bankers, and
bankruptcy, We
banner, of
bare, minimum
barely, a
bargain, for
barrier, to
barrierbreaking, campaign
barrios, of
based, on
basic, ideals
battle, of
battlefield, to
battlefields, may
battles, and
be, prosecuting
beacon, still
beaten, within
became, a
because, I
become, merely
becoming, an
bed, she
beef, up
been, proud
beer, broke
before, us
beg, for
began, to
begin, in
beginning, of
begins, this
behalf, that
behind, the
behold, after
being, filed
belief, in
beliefs, as
believe, 
believed, that
belongs, to
beloved, community
bend, that
bending, towards
bends, towards
beneath, all
beneficiaries, of
benefits, their
best, instincts
bestequipped, military
bestowed, mindful
bet, than
betrayal, of
betrays, the
better, alternative
between, 
beyond, our
bickering, that
big, house
bigger, than
biggest, corporations
bill, that
billion, surplus
billionaires, we
billions, of
bills, and
billy, clubs
bin, Laden
bind, us
binds, us
bingo, game
biofuels, an
bipartisan, fashion
bipartisanship, we
birth, certificates
birthright, of
bit, casual
bitter, cold
black, man
blame, the
bled, together
blend, into
bless, the
block, city
blood, At
blows, open
bludgeon, I
blue, America
bluster, and
boardedup, apartment
bodies, and
body, for
bogus, Board
bold, and
bomb, into
bombs, fell
bonds, of
bonuses, and
book, in
boots, Youre
bootstraps, because
border, security
borders, nor
born, from
borne, by
boss, are
both, sides
bottles, and
bound, to
bowl, and
boys, Who
brakes, that
brave, the
braved, a
bravely, and
bravery, and
bravest, bestequipped
breaches, of
break, to
breaks, for
breathe, we
brick, calloused
bridge, and
bridges, the
brief, moment
bright, 
bring, them
bringing, our
brings, down
brink, of
broad, support
broadband, lines
broadcasting, Im
broaden, and
broadly, about
broke, a
broken, and
brothers, and
brought, an
buck, shows
budget, into
build, cars
building, And
buildings, 
built, that
bullying, for
burdens, to
bureaucracy, Lets
burned, and
burns, as
buses, pulled
business, in
businesses, near
businessmen, and
but, upheld
buy, But
buying, a
by, the
call, to
called, to
calling, and
calloused, hand
calls, went
came, here
campaign, trail
campaigned, from
campaigning, will
campfires, on
can, prevail
cancer, I
candidacy, for
candidate, you
candidates, from
cannot, always
cant, just
capabilities, But
capacity, of
capital, city
capitals, to
capping, greenhouse
captives, free
car, And
card, bills
cards, drivers
care, system
career, in
careful, getting
careless, getting
cares, quality
caricature, our
caring, more
carried, the
carry, forward
cars, that
case, of
cast, ballots
casting, ballots
casual, about
categories, that
caucuses, that
cause, us
causes, that
cave, where
ceilings, the
celebrate, tonight
celebrated, but
celebration, but
celebrities, lead
central, components
centuries, later
century, and
centuryold, right
certain, community
certainly, do
certificates, 
chairs, in
challenge, the
challenged, once
challenges, of
challenging, yourself
chambers, and
champion, for
chance, to
chances, whether
change, the
changed, the
changes, lets
chant, It
chants, yes
chapter, in
character, and
charge, of
charged, with
charges, and
charity, but
chart, a
charter, expanded
chasing, after
cheap, political
check, legal
checks, and
cheesy, I
cherished, rights
chief, advisors
child, whos
childhood, education
childish, things
children, were
childrens, innocence
chips, fall
choice, is
choices, And
chokes, up
choose, to
chooses, to
chose, to
chosen, hope
chronic, avoidance
chronically, ill
church, Instinctively
churches, and
circle, Not
circulated, in
cities, and
citizen, And
citizens, and
citizenship, restoring
city, on
civil, penalties
claim, long
clamoring, to
clarity, to
class, of
classes, have
classrooms, in
clean, energy
cleancut, young
cleaning, your
clear, 
climate, and
climb, was
cling, to
clogging, our
close, a
closed, doors
closing, corporate
closings, in
clouds, and
clubs, and
coal, technology
coast, of
coasts, of
code, that
cold, today
coldest, of
colleagues, on
collection, of
collective, salvation
college, affordable
colleges, and
color, from
combat, troops
come, to
comes, with
coming, toward
commander, of
commencement, into
commerce, and
commission, that
commit, to
commitment, and
committee, originally
common, purpose
communicate, for
communism, not
communities, and
community, changed
companies, have
compassionate, people
compete, like
competed, with
competitive, economy
competitors, to
complaint, These
complete, disaster
completely, ruined
components, of
comprehensive, immigration
compromise, 
compromised, and
computers, in
concern, 
concerned, about
concerns, of
conduct, ourselves
conductors, on
confess, Thank
confetti, is
confidence, that
confident, that
conflict, or
conflicts, But
confront, the
confronted, by
congratulate, her
congratulated, him
congratulations, on
connected, to
connection, to
connections, detained
conquer, that
conquered, fear
conscience, and
consensus, to
consequence, of
consider, the
consideration, Im
considerations, that
considered, comprehensive
constitute, torture
constitutes, progress
constitutional, law
constructive, bipartisan
consume, the
consumed, us
contains, a
contentious, debates
contests, our
continent, from
continually, struggle
continue, on
continued, to
continues, to
contract, your
contribute, We
contrived, Im
control, costs
conventions, that
converge, 
conversation, about
convicted, And
conviction, That
convictions, that
cooler, heads
cooperation, happens
copayments, thats
corner, of
corners, we
corporate, loopholes
corporations, and
corpus, 
corruption, and
cosponsor, of
cost, is
costly, our
costs, by
could, have
couldnt, be
couldve, drafted
counted, Those
counters, and
countless, rallies
countries, who
country, great
countrys, middleclass
courage, of
course, that
court, but
courts, but
coverage, that
covered, by
covering, the
craft, a
crazy, idea
create, millions
created, it
creating, a
creation, and
credit, card
creed, and
cried, And
crime, and
criminal, penalties
criminals, I
crises, are
crisis, thats
critical, tool
criticized, as
cross, oceans
crossed, the
crowd, And
crowds, anywhere
crucial, role
crumbling, infrastructure
cry, out
cultivating, this
culture, says
curb, the
curiosity, loyalty
current, employer
currents, and
curtains, in
cut, corners
cynical, 
cynicism, we
cynics, and
damp, and
danger, came
dangers, in
dark, chapter
darkest, of
dashed, again
data, and
databases, We
daughters, when
dawn, of
day, in
days, cleaning
deadliest, unguarded
deal, with
dear, friend
dearly, And
death, toll
debate, with
debates, But
debating, them
debt, Its
debts, dont
decade, where
decades, ago
deceit, and
deceive, voters
decency, we
decent, generous
decide, what
decided, not
decides, our
decision, I
decisions, on
declared, in
decline, is
dedication, 
deep, plains
deeply, But
defeat, the
defeats, He
defend, this
defending, ourselves
defense, and
deferred, But
deficit, 
deficits, What
define, us
defining, moment
definition, up
degree, that
delegate, lead
deliver, the
delivered, it
demand, it
demanded, then
demanding, the
demands, of
democracy, in
democratic, process
demonize, Because
deny, that
depend, on
depended, not
dependence, on
depends, on
deplorable, intimidation
depression, a
depth, of
depths, of
describe, John
described, and
deserts, of
deserve, is
design, an
designed, and
desire, to
despair, because
desperation, where
despite, the
destiny, calling
destroy, some
destroying, our
detain, and
detained, in
detainees, at
detect, the
detective, Im
detention, of
deter, overstays
determination, to
determined, to
devastated, by
developed, a
devotion, to
dictator, know
dictators, And
did, that
didnt, get
die, together
died, when
difference, in
differences, 
different, from
differing, views
difficult, for
difficulties, of
digital, age
dignified, Where
dignity, and
dilapidated, schools
dime, 
diners, all
dinner, sitting
diploma, walk
diplomacy, and
diplomat, has
direct, diplomacy
directed, primarily
direction, of
disabled, lowincome
disagree, without
disagreeable, 
disagreement, that
disappointed, Because
disaster, Later
discord, They
discordant, and
discourages, empathy
discredited, Republican
discriminate, against
discriminating, against
discrimination, suit
discuss, the
disease, Can
disenfranchised, groups
disillusionment, and
dismiss, such
dismissed, she
dismissing, this
display, of
displayed, with
displaying, a
dissent, know
dissolve, that
distance, to
distant, horizon
distinction, and
distract, us
distracted, from
distribute, polling
distributed, equitably
divide, us
divided, cannot
divides, Wall
division, What
divisions, and
do, not
doctors, bills
document, that
documents, significantly
doers, the
does, not
doesnt, just
dogmas, that
dogs, and
doing, business
dollars, to
done, Whats
dont, hire
doors, and
dorm, room
double, in
doubled, Soon
doubt, this
doubtful, of
doubts, He
down, terrorists
downstairs, after
draft, of
drafted, a
drag, that
dragging, my
drawn, from
dream, of
dreams, It
dress, for
drift, Republican
drilling, is
drive, around
drivers, licenses
drives, that
dropped, from
drove, home
drowns, before
drying, up
due, process
dug, into
during, the
dust, bowl
duties, that
duty, for
dying, of
each, employee
earlier, generations
early, s
earn, a
earned, her
earnest, And
earth, For
ease, with
easier, Theres
easily, or
easy, everybody
echo, each
echoed, by
economic, policies
economy, thats
educate, and
educating, their
education, I
effect, For
effective, review
effectively, detect
efficient, Yes
effort, to
efforts, and
eight, years
eighteen, long
eighty, countries
either, We
eitheror, question
elderly, woman
elected, AfricanAmerican
election, If
elections, Unfortunately
electorate, It
electric, grids
electronic, verification
elements, we
eligibility, verification
eligible, exfelons
eliminate, capital
eliminating, the
eloquent, but
else, but
elses, problem
emanates, from
embodies, the
embody, the
embrace, of
emerged, from
empathy, challenging
employee, As
employees, hired
employer, sanctions
employers, who
employment, verification
empty, If
encourage, these
encourages, illegal
end, the
ended, after
endless, possibility
endorse, me
endorsement, from
endorsements, and
ends, in
endure, some
endured, sacrifices
enduring, power
enemies, We
enemy, was
energy, crisis
enforce, critical
enforcement, system
engage, in
enjoy, relative
enormity, of
enough, Real
enriched, my
ensure, unimpeded
ensures, certain
ensuring, that
entertained, A
entirely, That
entitle, us
entitled, Challenge
envelope, with
envy, of
equal, days
equality, And
equipment, works
equitably, and
era, of
errors, in
escaped, was
especially, on
essence, of
essential, decency
essentially, got
establish, criminal
ethanol, and
ethic, of
ethics, reform
even, as
ever, is
evershortening, attention
every, tool
everybody, would
everyday, Americans
everyone, else
everything, weve
everywhere, else
evidence, or
exactly, like
exaggerate, or
example, the
except, for
exchange, for
excited, to
executives, that
exfelons, from
exhausted, Im
exist, Others
existed, not
expand, freedom
expanded, by
expect, this
expectations, for
expected, Because
expediences, sake
expelled, from
experience, about
experienced, true
expiring, provisions
explains, how
exploded, But
exporting, those
express, my
extend, a
extra, money
eye, not
eyes, were
fabric, of
face, of
faced, these
faces, of
facing, a
fact, betrays
faction, This
factories, in
factory, has
faculty, parents
fade, from
fail, But
failed, to
fails, when
failure, because
failures, and
fainthearted, 
fair, to
faith, and
faithful, to
fake, Social
fall, and
fallen, in
falls, instead
false, charges
falter, and
fame, Rather
families, who
family, friends
famous, safe
far, the
farmers, and
farms, to
faroff, deserts
farreaching, network
farthest, 
fascism, and
fashion, in
fate, Our
father, of
fathers, must
fault, Were
favors, only
fear, The
fearful, and
fears, and
federal, judges
feed, hungry
feeding, our
feeds, into
feel, they
feeling, he
feels, good
feet, looks
fell, from
fellow, candidates
felt, as
fester, We
few, years
field, of
fields, of
fierce, in
fifth, tour
fifty, classes
fiftyfour, hardfought
fight, the
filed, and
fill, It
filled, the
filling, out
final, results
finally, a
finances, and
financial, crisis
find, out
finding, work
finds, herself
fine, notices
finest, statesmen
finger, to
finish, the
fire, And
fired, up
firefighters, courage
firepower, but
firm, in
firmer, and
firmly, without
first, considered
firsts, and
firsttime, voters
fiscal, responsibility
fist, To
fit, the
five, years
fix, our
fixed, all
flag, They
flawed, document
flier, purporting
floodwaters, rise
floor, addressed
floors, of
flourish, and
flow, to
fly, on
flyers, I
focusing, on
foes, well
folks, And
follow, George
followed, voters
following, message
food, got
footage, of
for, those
forbearers, and
force, is
forces, arrayed
forcing, us
foreign, policy
foresight, And
forever, And
forge, a
forged, documents
forget, this
forgets, what
forgotten, corners
form, for
formation, of
formed, and
former, foes
forth, one
fortunate, although
forty, year
forward, when
fought, to
found, the
foundation, for
founded, on
founders, is
founding, documents
four, little
fourth, reauthorization
frame, to
fraudulent, documents
free, a
freedom, And
freedoms, cause
frees, America
fresh, ideas
friend, Congressman
friends, traveled
friendships, here
friendsthough, passion
frivolous, lawsuits
from, clogging
front, and
frustrated, with
frustration, we
fudge, the
fuel, to
fueled, her
fuelefficiency, standards
fuelefficient, cars
fuels, and
fulfill, his
fulfilling, Americas
full, day
fullgrown, For
fully, fund
function, of
fund, the
fundamental, human
fundamentals, we
further, on
future, people
gains, taxes
gamble, your
game, is
games, the
gang, violence
gangly, selfmade
gangviolence, in
gap, between
gas, But
gases, We
gashed, open
gaswhen, theyre
gather, with
gathered, from
gathering, of
gave, me
gay, people
gender, if
general, and
generals, over
generate, growth
generation, Or
generations, who
generosity, and
generous, compassionate
genius, of
genocide, and
get, the
gets, sick
getting, more
giants, upon
gift, of
girl, from
girlfriend, of
girls, died
give, our
given, the
gives, the
giving, a
gladly, firm
glass, ceilings
global, economy
globe, But
go, out
goal, in
goats, in
goes, to
going, in
gone, to
gonna, happen
good, chance
goodness, to
goods, and
goodsized, trunks
got, steamrolled
gotten, the
governed, by
governing, administrative
government, suspects
governments, intelligence
grace, to
gracious, call
graduating, from
graduation, and
grand, sum
grandest, capitals
grandfather, lives
grandmother, Barack
grandparents, advice
grasping, at
grateful, nation
gratitude, to
great, Instead
greater, odds
greatest, nation
greatness, as
greed, and
greenhouse, gases
grew, during
grids, and
grievances, and
grieve, for
ground, has
group, of
groups, The
grow, But
growing, up
grownup, than
grows, smaller
growth, but
grudgingly, accept
guarantees, insurance
guardians, of
guidance, their
guide, us
gun, ownership
habeas, corpus
habits, and
had, an
hadnt, gotten
half, a
hall, And
hallmark, of
halls, with
hand, and
handinhand, as
hands, instead
happen, if
happened, on
happening, was
happens, or
happiness, In
happy, talk
harbor, and
hard, If
hardearned, benefits
harden, or
harder, not
hardest, hit
hardfought, contests
hardship, let
hardworking, Americans
harm, We
harms, way
harness, alternative
has, mercy
hat, Shes
hatched, in
hatred, and
hatreds, shall
have, been
havens, that
havent, been
having, a
he, looked
head, high
heads, can
heal, this
health, care
healthy, and
hear, a
heard, for
hearings, for
heart, of
heartache, and
heartfelt, convictions
hearts, that
heat, to
hed, understand
held, and
hell, follow
help, And
helped, so
helps, families
her, hand
herding, goats
here, today
heres, the
heritage, is
heroes, Theirs
heroically, I
herself, so
hes, fallen
hesitate, to
hide, and
high, destroying
higher, taxes
highest, office
hightech, jobs
highwage, hightech
hills, of
him, about
himself, from
hire, unauthorized
hired, would
hiring, undocumented
his, day
historic, journey
historically, disenfranchised
history, of
hit, by
hitch, your
hoax, and
hold, an
hole, in
home, to
homecoming, of
homegrown, alternative
homes, half
hometown, of
homework, that
honest, in
honesty, and
honor, to
honored, by
honors, the
hope, we
hopeful, but
hopefully, wake
hopes, and
hoping, and
horizon, and
horseback, armed
hoses, or
hospital, and
hostile, elements
hotel, room
hour, and
hours, of
house, divided
how, we
huddled, by
human, rights
humanity, shall
humble, gratitude
humbled, and
humbling, but
humility, and
hundred, and
hundreds, of
hungry, for
hunted, and
hunters, in
hurricane, strikes
hurt, us
icy, currents
idea, in
ideals, that
ideas, if
identity, and
ideological, differences
if, we
ignored, them
ignoring, our
ill, and
illclothed, and
illconceived, war
illegal, workers
illfed, illclothed
illhoused, They
illness, away
ills, on
illserved, America
illusion, weve
illustrate, what
image, as
imagination, And
imagine, that
immaturity, that
immigrant, woman
immigrants, from
immigration, reform
imperatives, of
implement, five
implemented, nationally
import, triple
important, piece
impossible, odds
improbable, quest
improve, quality
improving, our
impulses, They
in, winning
inaction, or
incentive, for
inch, of
include, additional
income, go
incomes, of
inconsequential, and
indefinite, detention
independence, has
independent, He
independentthinking, and
indicating, that
indicators, of
indifference, to
individual, salvation
individuals, to
inducing, terror
industries, and
inevitable, and
inextricably, linked
infant, child
influence, of
information, In
informing, voters
infrastructure, and
inhabit, us
inheritance, Its
ink, for
inner, cities
innercity, children
innocence, They
innocent, people
innocents, we
innovation, and
innuendo, and
inside, of
insist, on
insistence, on
insisting, that
inspection, of
inspiration, to
inspirational, but
inspire, a
inspired, a
inspires, millions
instead, of
instilling, an
instincts, of
institutions, and
instruments, with
insulated, enough
insurance, Whats
insure, our
intellectual, and
intelligence, says
intend, to
intent, to
interest, and
interests, move
internet, connection
interrogate, and
intimidation, tactics
intimidators, joked
into, consideration
introduced, One
inventive, our
invest, more
investigators, employer
investing, in
investment, that
investments, in
invited, the
involved, again
irresponsibility, before
is, over
isnt, just
isolate, America
isolated, and
issue, of
issued, Instead
issues, and
it, was
its, sloppy
itself, standing
jail, every
janitor, not
janitors, 
jeopardy, ordinary
jihad, movement
job, right
jobless, this
jobs, that
join, it
joined, last
joked, about
journey, towards
judge, you
judges, who
judgment, to
jumped, up
just, didnt
justice, that
justness, of
keep, educating
keeper, We
keepers, of
keeping, gas
keeps, the
kept, lawyers
kicked, out
kid, without
kids, better
kill, or
kind, of
kinder, and
kindly, quoted
kindness, of
kneel, down
knees, In
knew, what
knock, on
know, about
knowing, that
knowledge, of
known, Where
knows, how
labels, In
labor, who
laborers, all
lack, of
lacking, is
ladders, to
ladies, saw
lady, raises
laid, to
laidoff, steelworker
land, to
landed, a
language, assistance
languages, without
lap, and
large, salary
larger, than
lash, of
last, few
lasting, friendships
late, to
later, that
laurels, upon
law, school
laws, and
lawsuits, being
lawyer, we
lawyers, from
lay, down
laypeople, to
lazy, or
lead, us
leader, who
leaders, of
leadership, on
leading, the
leads, to
learn, from
learned, once
learning, and
least, pass
leave, And
leaving, we
led, 
left, the
legacy, of
legal, workers
legislation, Now
legislative, dinner
legitimate, reason
legitimately, tout
leisure, over
length, from
lesbian, brothers
less, than
lessen, the
lesson, in
lessons, that
let, me
lets, remember
letter, they
letterhead, informing
letters, to
levees, break
levels, of
liberated, a
liberty, and
license, plate
licenses, birth
lie, ahead
lies, at
lieutenants, if
life, But
lifelong, cynics
lifetime, During
lift, a
lifted, millions
light, the
lighter, a
like, this
likeliest, candidate
likes, to
limb, for
limitations, But
limitless, faith
line, behind
lines, of
linked, That
listen, to
literally, beaten
little, to
live, for
lived, it
lives, And
living, soul
loans, and
lobbyists, and
local, in
location, and
locked, away
long, night
longer, than
longterm, solution
look, the
looked, outside
looking, for
looks, like
loopholes, and
lose, their
losing, a
lost, somewhere
lot, across
love, Let
loved, ones
loves, it
low, and
lower, your
lowered, the
lowincome, neighborhoods
loyalty, and
luck, No
lucky, to
lunch, counters
lying, to
mad, I
made, this
magnificent, journey
mail, pieces
maintain, records
major, American
make, decisions
makers, of
makes, future
making, a
mall, and
man, who
manage, the
manager, David
manner, to
many, of
marbled, halls
march, for
marched, again
marchers, and
marches, still
mark, a
market, for
marks, our
marriage, but
marry, a
mastermind, of
matter, weve
mature, in
maturity, that
may, remain
maybe, if
me, be
mean, if
meaning, of
meaningful, way
meaningless, labels
means, drying
meantime, our
measurable, but
measure, our
measured, by
media, returned
medical, bills
meet, this
meeting, was
meetings, VFW
members, that
memo, on
memories, are
memory, of
men, in
mend, America
mental, recession
mercy, on
merely, a
mess, Which
message, If
met, before
middle, of
middleclass, again
middlemanagement, despite
midnight, We
midst, of
might, have
mighty, stream
miles, away
military, courts
mill, was
millennium, together
million, workplaces
millions, unable
mind, a
mindful, of
minds, And
mine, heard
minimum, I
minorities, the
minority, voters
minute, or
minutes, to
mired, in
misguided, war
miss, them
missiles, and
mission, and
missteps, and
mistake, Today
mistaken, identity
model, for
modernize, our
mom, who
moment, where
moments, which
money, culture
month, on
months, ago
moon, and
moonlights, as
moral, universe
more, fuel
morning, President
mortgage, double
most, contentious
mother, and
mothers, advice
motivated, then
mountain, of
mountains, of
mounting, debts
mounts, weve
move, to
moved, a
movement, like
much, to
muddle, a
must, take
mutual, responsibility
my, colleagues
myself, of
myth, of
nagging, fear
naive, to
narrow, your
nation, They
national, employment
